,Prediction
0,0.0
1,0.0
2,0.0
3,0.0
4,0.7425062695935696
5,12.390807896655048
6,21.079822217987015
7,29.854185103245417
8,69.67959440708927
9,94.35678136611457
10,101.9905163763772
11,94.48849013217935
12,74.31150467631107
13,63.577766096159046
14,45.67982157765711
15,35.36234880828379
16,13.594499597014643
17,10.717627917052269
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,3.2911120964594414
29,13.832957252918082
30,15.416886384089338
31,29.915073972635245
32,58.63911457861364
33,78.57347338892072
34,94.40949145428846
35,94.70345250649282
36,89.29340323553231
37,71.34441855232635
38,68.35226554857044
39,29.709264417236913
40,19.777306461262494
41,13.21415092184926
42,3.1230243355301566
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.19363589635299494
52,8.804614038651469
53,16.51102488876505
54,20.04838053813241
55,50.93785660723032
56,100.89517742239568
57,135.41156708565913
58,140.22108341758585
59,135.1479186521442
60,120.97971024971548
61,117.53820027462228
62,84.65491518185098
63,38.80589386651861
64,18.01884190808415
65,11.270483669140994
66,2.948872410043843
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,1.2856753216952352
77,17.17904039416821
78,22.45406604976256
79,51.61390837567452
80,100.54678644066689
81,133.86795103693066
82,108.27059680829257
83,158.59819837906593
84,106.90603505315303
85,86.1603679346234
86,80.40464201566377
87,44.23506540965712
88,25.08808264819335
89,14.595566251071277
90,0.12179901818522398
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,8.408259180810038
101,18.862891577621664
102,23.928525627750364
103,52.22666909726541
104,103.20146653215207
105,132.73798638791678
106,159.06099391942445
107,164.88755328489927
108,152.84883495051227
109,127.36775282974335
110,94.6422689727257
111,51.20541761387134
112,28.198628613111442
113,14.37830517127958
114,12.914833428812546
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.74095659724848
124,9.926925839146513
125,17.329124965082688
126,22.522744639004845
127,55.99188307779315
128,101.58031143729542
129,123.97932958830509
130,156.89892052799198
131,150.2327138252751
132,105.8145846001089
133,102.20457354006308
134,88.59485077699148
135,48.057192774818134
136,33.42402786504634
137,15.704178551671912
138,11.547356210542937
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,1.0928377516608658
148,10.621933126269342
149,17.482987501437034
150,23.368245482817233
151,57.50140514456853
152,106.42691402497357
153,141.39621417390418
154,154.3993852774124
155,161.74493943459282
156,142.27875949580252
157,116.50163965135539
158,91.92831726789211
159,49.588909424799034
160,33.312368241156726
161,15.000827148798638
162,12.035369913156748
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,2.6709798643284226
175,17.159745920623696
176,34.9810534554242
177,41.751875285624386
178,42.74834238822675
179,44.81391228327123
180,74.7946049792657
181,77.99845342077586
182,48.78360352173278
183,43.97710817638227
184,25.33844345910141
185,10.72278514207292
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,16.749226757775375
199,50.933199891208375
200,85.10456090959431
201,109.62768380009882
202,161.52645036663844
203,160.75154663586318
204,159.66240809216345
205,100.06963807957351
206,82.87307505848557
207,43.97027558882892
208,21.318859726090352
209,2.154655844588801
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,5.144920333128985
223,23.420675547594026
224,45.52071345825649
225,57.06738724251662
226,48.096286150148
227,71.84037440807143
228,53.93557353009286
229,47.90009952611508
230,36.223809308289475
231,17.02808195614868
232,3.006332522327332
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,2.3811704438450234
246,18.743048797107406
247,47.10471031288718
248,84.14190598384712
249,73.75636746347814
250,66.29665694630518
251,93.88762650096913
252,100.42245780865943
253,62.22803660965662
254,54.04964712306681
255,54.48056080596154
256,25.967790819433915
257,15.47691904319299
258,12.421566234252333
259,0.6083914545816111
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,10.65516018790589
270,21.37237967821773
271,41.13767439111229
272,63.33722979048675
273,79.89332968031977
274,107.581831650494
275,109.59130649625311
276,115.5212280745084
277,64.35940184645648
278,57.79474364824063
279,43.67262366970743
280,15.138845057470306
281,3.1209209312287607
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,5.894088151278374
294,23.89590123890903
295,52.78228539567747
296,54.612595550219766
297,81.3865194342211
298,147.1719484189567
299,120.93923656929431
300,95.5005933675877
301,64.15739225090732
302,55.9362377243035
303,34.362912281860446
304,10.825843952371397
305,7.003810334182214
306,0.8415616756673687
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,5.661839364622654
317,14.481498031839752
318,24.09676007550458
319,40.98246011858245
320,79.70779371957246
321,82.80327853229235
322,115.11823482581184
323,100.78074626467705
324,95.76803747303649
325,60.50658854705914
326,46.241086870508184
327,17.608486074672097
328,4.206229919670735
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.6847934899507919
342,9.823525042745361
343,24.635465709603313
344,36.26569432754332
345,52.49021134762558
346,55.09827905848061
347,56.715756328676406
348,70.31769731807265
349,55.13066999238582
350,51.81106938706994
351,29.01105342385836
352,11.155238052174449
353,0.9229186371842948
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.7230660204408395
366,11.210312156734174
367,34.06665046047585
368,45.28786022578405
369,57.41605593544651
370,81.00927412782474
371,87.90194282873634
372,91.16106646793136
373,67.97580843792039
374,50.820189814651364
375,27.508688326539346
376,12.504267685578315
377,8.631836648860485
378,2.5847525296509226
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,6.857935565997657
391,24.046882173689603
392,37.764818962121176
393,46.62056678188531
394,43.227235962602464
395,48.13360765772921
396,67.19331367552772
397,66.5031426272711
398,52.90545598131114
399,28.15228511247914
400,14.54434754493817
401,9.006915022515859
402,8.494258175984326
403,1.1315358424730917
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
