id,Prediction
0,9.683324357780473
1,12.899595852190346
2,14.91427593867219
3,11.831609556904477
4,37.845898468348906
5,183.4390408570728
6,512.1873294471857
7,553.8478477858439
8,573.7318598837837
9,619.9420636052891
10,562.0815212647065
11,692.6967532714443
12,741.9272050487266
13,501.5634891000433
14,465.4242844542962
15,303.3351005892614
16,204.7941039995891
17,125.32080245072402
18,30.94510196954633
19,24.302858672390265
20,28.948375106587413
21,27.22120311320633
22,18.7382970671737
23,13.06451283070253
24,14.835295903377084
25,14.217835974425062
26,15.404641179176812
27,22.763317500436397
28,131.00922625700605
29,345.34595652433325
30,554.451868856532
31,774.2019335161408
32,815.4366920386485
33,1065.9698069191884
34,1304.5801294208788
35,1307.1916183111252
36,1208.8731540183564
37,966.0876125425864
38,848.535764943689
39,615.5164536645536
40,440.4629948629017
41,238.94385008392524
42,123.93551628747316
43,34.47468263321586
44,35.368624081396774
45,43.153684311903575
46,65.20224660870815
47,61.84914451395708
48,11.999597388855213
49,13.014496825197655
50,16.307408621337913
51,40.24662022088355
52,132.39829571292842
53,293.6869543637855
54,458.7699452979858
55,797.9977365816096
56,1175.2157973416654
57,1544.0264405255332
58,1736.4990125053396
59,1443.8556716075195
60,1125.6952785623162
61,927.4216226243524
62,760.090183815802
63,527.8817088419967
64,298.2606973151873
65,178.85397820009254
66,164.20834946534117
67,61.19349401009319
68,65.34864752646641
69,68.62854902208889
70,71.42395076512851
71,21.43426251986366
72,5.502767770553319
73,5.0850432257319085
74,7.347676156526872
75,10.247075576438384
76,24.98976799329234
77,320.1728460727901
78,551.3433352877521
79,761.6068465103538
80,1230.0914740881008
81,1229.1356431920417
82,1303.0503406478665
83,1386.8146398204285
84,1375.0755418207268
85,1272.5786825388202
86,914.725223464054
87,655.4864364517427
88,470.8782730656088
89,188.0666528828388
90,26.94923889373318
91,32.85409746623468
92,29.329824681522695
93,30.10108208783568
94,36.45034182076285
95,22.00444911032877
96,7.224097197345082
97,7.770656404117692
98,16.94733809449454
99,35.61923288788246
100,106.34999858886792
101,360.7411408141402
102,574.1133286525087
103,893.3678859067647
104,1262.351677322126
105,1379.8655652469183
106,1633.484397426685
107,1645.4028985532589
108,1474.0351285951097
109,1281.3485980095288
110,838.8814017353084
111,537.4354991858725
112,375.1313617742767
113,227.35636942464927
114,131.80656355519758
115,45.49828396048456
116,55.34491468593394
117,67.7211434326843
118,140.90793526983992
119,21.29131801083069
120,16.294769335787027
121,12.49766578347919
122,8.26321315007959
123,125.98163991731433
124,208.56080467157017
125,305.0673679187192
126,511.7056383639399
127,897.010576630181
128,1137.522678804561
129,1071.9383798244078
130,1110.2821071795263
131,1086.892747814773
132,1052.383504246539
133,928.5521109391328
134,848.2613531533568
135,539.3541467131818
136,407.6377102938826
137,236.29725758825623
138,147.5147793916468
139,61.08706883075444
140,67.36340964534054
141,69.17946730052137
142,61.50578170197635
143,24.24453081944909
144,12.426549211268124
145,12.875774602943784
146,5.547585874486788
147,48.19259574256832
148,165.90819460109017
149,318.8782563483528
150,478.3043854984046
151,790.797350482615
152,1421.087623383247
153,1605.2590646216015
154,1324.0169931394923
155,1235.4490347022593
156,1239.7300643972424
157,1032.2502424993822
158,841.8654925642732
159,543.2477134748999
160,349.3353255364754
161,223.68826167976735
162,150.71647607857793
163,51.24635169603843
164,32.56201711067828
165,20.259604960207483
166,7.193523553628408
167,0.0
168,0.0
169,0.0
170,6.033702336661783
171,3.262136529357781
172,3.442723654794849
173,0.0
174,0.0
175,30.76613573140657
176,100.86750775584372
177,139.21736881648488
178,159.9602280352918
179,375.4522567981414
180,575.9072042698856
181,921.5295834458168
182,715.5338988541041
183,552.7806784092809
184,370.6569817196545
185,141.60776080521805
186,47.66739968801184
187,58.22728681313794
188,55.72681653803976
189,62.47465353461951
190,58.018012404982734
191,14.118454828812204
192,0.0
193,0.0
194,0.0
195,6.512359432383931
196,5.1847869078919375
197,1.036753640600027
198,223.72581163849708
199,506.1662371485247
200,404.7020276188766
201,639.3438482420147
202,925.1498034104718
203,591.523182973161
204,648.2582714843641
205,862.1354928115773
206,606.9419574945582
207,304.46164113579755
208,150.55213019583408
209,17.236449526259676
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,12.793253395232602
217,9.62580811532639
218,18.01697847527757
